//Chinese With Mike/Vocabulary/Greetings
你好	nǐ hǎo!	Hello; hi (You good?)
你好吗?	nǐ hǎo ma?	You good? How are you?
我很好	wǒ hěn hao.	I am fine/good/well.
你呢?	nǐ ne?	And you?
我也很好	wǒ yě hěn hǎo. 	I’m good/well/fine, too.
谢谢	xièxie 	Thank you
早上好	zǎoshàng hǎo	Good morning
下午好	xiàwǔ hǎo	Good afternoon
晚上好	wǎnshàng hǎo	Good evening
晚安	wǎn ān	Goodnight
再见	zàijiàn	Goodbye (formal)
拜拜	bàibài	Goodbye (informal)
喂	wéi	Hello (for phone only)
大家好	dàjiā hǎo!	Hello, everyone.
你们好	nǐmen hǎo	Hello, you guys.
老师好	lǎoshī hǎo	Hello, Teacher.
名字	míngzi	Name

//Chinese With Mike/Vocabulary/Useful Basic Words
在	zài 	In, at, on
哪里	nǎ lǐ (nǎr)	Where?
这里	zhè lǐ	Here
那里	nà lǐ	There
这个	zhège	This one
那个	nàgè	That one
但是	dànshì	But (more formal) 
可是	kěshì	But (less formal)
所以	suǒyǐ	So
什么	shénme	What?
为什么	wèishénme	Why?
因为	yīnwèi	Because
还是	háishi	Or
大家	dàjiā	Everybody; everyone
恭喜	Gōngxǐ	Congratulations!

//Chinese With Mike/Vocabulary/Verbs
是	shì	To be, is
要	yào	To want something immediate/close (verb)
会	huì	To be able to, can
喜欢	xǐhuan	To like
不喜欢	bù xǐhuan	To not like
爱	ài	To love
喝	hē	To drink
吃	chī	To eat
看	kàn 	To watch/read/look at
说	shuō	To speak, to say 
讲	jiǎng	To speak 
开(车)	kāi (chē)	To drive
跳舞	tiàowǔ	To dance 
写(字)	xiě (zì)	To write 
煮（饭）	zhǔ (fàn)	To cook 
游泳	yóuyǒng	To swim 
弹	dàn	To play (a stringed instrument) 
唱歌	chànggē	To sing 
用	yòng	To use
骑	qí	To ride
打	dǎ	To hit, to play (a hand sport)
踢	tī	To kick, to play (a foot sport)
有	yǒu	To have
能	néng	To be physically able to do something
教	jiào	To teach
学(习)	xué (xí)	To study
叫	jiào	To be called (a name)
练习	liànxí	To practice
给	gěi	To give
等	děng	To wait (for)
帮	bāng	To help
找	zhǎo	To look for
去	qù	To go.
穿	chuān	To put on/to wear (clothes)
戴	dài	To put on/to wear (accessories)
买	mǎi	To buy
卖	mài	To sell
休息	xiūxí	To rest/relax
看书	kàn shū	To read (a book)
睡觉	shuìjiào	To sleep
可以	kěyǐ	May, could (permission)

//Chinese With Mike/Vocabulary/Adverbs
很	hěn	Very
还	hái	Still, yet
太	tài	Too
真的	zhēn de	Really
超	chāo	Super
蛮	mán	Pretty/quite

//Chinese With Mike/Vocabulary/Measure Words
个	gè	General measure word
只	zhǐ	Measure word for animals
本	běn	Measure word for books, booklike objects.
张	zhāng	Measure word for flat objects
杯	bēi	Measure word for cups, glasses, etc.
瓶  	píng 	Measure word for bottles

//Chinese With Mike/Vocabulary/Language
中文	Zhōngwén	Chinese (language)
英文	Yīngwén 	English (language)
日文	Rìwén 	Japanese (language)
字	zì	Word, character
词	cí	Term, word
声	shēng	Tone
轻声	qīngshēng	Neutral tone
一声	yīshēng	First tone
二声	èrshēng	Second tone
三声	sānshēng	Third tone
四声	sìshēng	Fourth tone

//Chinese With Mike/Vocabulary/Countries
国家	Guójiā	A nation; a country
中国	Zhōngguó	China
台湾	Táiwān	Taiwan
美国	Méiguó	America
法国	Fàguó	France
德国	Déguó	Germany
英国	Yīngguó	Britain
英格兰	Yīnggélán	England
日本	Rìběn	Japan
韩国	Hánguó	Korea
新加坡	Xīnjiāpō	Singapore
西班牙	Xībānyá	Spain
荷兰	Hélán	The Netherlands
俄国	Éguó	Russia
加拿大	Jiānádà	Canada
墨西哥	Mòxīgē	Mexico
马来西亚	Mǎláixīyà	Malaysia
越南	Yuènán	Vietnam
爱尔兰	Àiěrlán	Ireland
波兰	Bōlán	Poland
巴西	Bāxī	Brazil
葡萄牙	Pútáoyá	Portugal
澳洲	Àozhōu	Australia
新西兰	Xīnxīlán	New Zealand
意大利	Yìdàlì	Italy
印度	Yìndù	India
阿拉伯	Ālābó	Arabic
挪威	Nuówēi	Norway
芬兰	Fēnlán	Finland
冰岛	Bīngdǎo	Iceland
泰国	Tàiguó	Thailand
罗马尼亚	Luómǎníyà	Romania
阿根廷	Āgēntíng	Argentina
非洲	Fēizhōu	Africa
南非	Nánfēi	South Africa
希腊	Xīlà	Greece

//Chinese With Mike/Vocabulary/Cities
城市	chéngshì	A city
北京	běijīng	Beijing
上海	shànghǎi	Shanghai
香港	xiānggǎng	Hong Kong
东京	dōngjīng	Tokyo
澳门	àomén	Macao
台北	táiběi	Taipei
纽约	niǔyuē	New York City
芝加哥	zhījiāgē	Chicago
洛杉矶	luòshānjī	Los Angeles
墨西哥城	mòxīgēchéng	Mexico City
里约热内卢	lǐyuērènèilú	Rio de Janeiro
伦敦	lúndūn	London
莫斯科	mòsīkē	Moscow
巴黎	bālí	Paris
柏林	bólín	Berlin
罗马	luómǎ	Rome
曼谷	màngǔ	Bangkok
多伦多	duōlúnduō	Toronto

//Chinese With Mike/Vocabulary/Adjectives
好	hǎo	Good; well; fine
棒	bàng	Great
高	gāo	Tall; high
美	měi	Beautiful
矮	ǎi	Short
漂亮	piàoliàng	Pretty; beautiful
壮	zhuàng	Strong
帅	shuài	Handsome
弱	ruò	Weak
醜	chǒu	Ugly
高兴	gāoxìng	Happy
醉	zuì	Drunk
难过	nánguò	Sad
香	xiāng	Fragrant
开心	kāixīn	Happy
老	lǎo	Old
伤心	shāngxīn	Sad; heartbroken
年轻	niánqīng	Young
胖	pàng	Fat
臭	chòu	Stinky
瘦	shòu	Thin
快	kuài	Fast
聪明	cōngmíng	Intelligent; smart
慢	màn	Slow
笨	bèn	Stupid
烫	tàng	Hot (for objects)
饿	è	Hungry
低	dī	Low
渴	kě	Thirsty
生气	shēngqì	Angry
长	cháng	Long
无聊	wúliáo	Bored
短	duǎn	Short (length)
兴奋	xìngfèn	Excited
困惑	kūnhuò	Confused
亮	liàng	Bright
认真	rènzhēn	To have a good attitude
暗	àn	Dark
假	jiǎ	Fake
忙	máng	Busy
疯	fēng	Crazy
辛苦	xìnkǔ	Hard-working
有钱	yǒuqián	Rich
懒惰	lǎnduò	Lazy
穷	qióng	Poor
好玩	hǎowán	Fun
大方	dàfāng	Generous
讨厌	tǎoyàn	Disagreeable
贪心	tānxīn	Greedy
大	dà	Big
勤劳	qínláo	Hard-working
小	xiǎo	Small; little
累	lèi	Tired
顽皮	wánpí	Naughty
顽固	wángù	Stubborn
早	zǎo	Early
晚	wǎn	Late
新	xīn	New
简单	jiǎndān	Easy
旧	jiù	Old (not new)
难	nán	Difficult
有趣	yǒuqù	Interesting
可爱	kěài	Cute
热	rè	Hot (weather; atmosphere)
温暖	wēnnuǎn	Warm
冷	lěng	Cold
冰	bīng	Cold (for objects)
湿	shī	Wet
干	gān	Dry
舒服	shūfú	Comfortable
贵	guì	Expensive
便宜	piányí	Cheap

//Chinese With Mike/Vocabulary/Family
儿子	érzi	Son
女儿	nǚ ér	Daughter
妈妈	māma	Mom
爸爸	bàba	Dad
母亲	mǔqīn	Mother
父亲	fùqīn	Father
爸爸妈妈	bàba māma	Mom and dad
父母	fùmǔ	Parents (collectively)
兄弟	xiōngdì	Brothers (collectively)
姐妹	jiěmèi	Sisters (collectively)
兄弟姐妹	xiōngdì jiěmèi	Brothers and sisters (collectively)
哥哥	gēge	Older brother
弟弟	dìdi	Younger brother
姐姐	jiějie	Older sister
妹妹	mèimei	Younger sister
先生	xiānshēng	Husband (formal)
老公	lǎogōng	Husband (informal)
太太	tàitai	Wife (formal)
老婆	lǎo pó	Wife (informal)
男朋友	nánpéngyǒu	Boyfriend
女朋友	nǚpéngyǒu	Girlfriend
爷爷	yéye	Grandpa (father's father)
奶奶	nǎinai	Grandma (father's mother)
伯伯	bóbo	Uncle (father’s older brother)
叔叔	shūshu	Uncle (father’s younger brother)
姑姑	gūgu	Aunt (father’s sister)
堂哥	tánggē	Older male cousin (father's side)
堂弟	tángdì	Younger male cousin (father's side)
堂姐	tángjiě	Older female cousin (father's side)
堂妹	tángmèi	Younger female cousin (father's side)
外公	wàigōng	Grandpa (mother's father)
外婆	wàipó	Grandma (mother's mother)
舅舅	jiùjiu	Uncle (mother’s brother)
阿姨	ā yí	Aunt (mother’s sister)
表哥	biǎogē	Older male cousin (mother's side)
表弟	biǎodì	Younger male cousin (mother's side)
表姐	biǎojiě	Older female cousin (mother's side)
表妹	biǎomèi	Younger female cousin (mother's side)
岳父	yuèfù	Father-in-law (wife’s father)
岳母	yuèmǔ	Mother-in-law (wife’s mother)
公公	gōnggong	Father-in-law (husband’s father)
婆婆	pópo	Mother-in-law (husband’s mom)
姐夫	jiěfu	Brother-in-law (older sister’s husband)
妹夫	mèifu	Brother in-law (younger sister’s husband)
嫂嫂	sǎosao	Sister-in-law (older brother’s wife)
弟媳	dìxí	Sister-in-law (younger brother’s wife)
侄子	zhízi	Nephew (brother’s son)
侄女	zhínǚ	Niece (brother’s daughter)
外甥	wàishēng	Nephew (sister’s son)
外甥女	wàishēngnǚ	Niece (sister’s daughter)
外孙	wàisūn	Grandson (daughter’s son)
外孙女	wàisūnnǚ	Granddaughter (daughter’s daughter)
孙子	sūnzi	Grandson (son’s son)
孙女	sūnnǚ	Granddaughter (son’s daughter)
未婚夫	wèihūnfū	Fiance (male)
未婚妻	wèihūnqī	Fiancee (female)

//Chinese With Mike/Vocabulary/Fruit & Vegetables
水果	shuǐguǒ	Fruit
苹果	píngguǒ	Apple
桃子	táozi	Peach
香蕉	xiāngjiāo	Banana
樱桃	yīngtáo	Cherry
橙	chéngzi	Orange
芒果	mángguǒ	Mango
葡萄	pútáo	Grape
梨子	lízi	Pear
草莓	cǎoméi	Strawberry
荔枝	lìzhī	Lychee
蓝莓	lánméi	Blueberry
葡萄干	pútáogān	Raisin
番茄	fānqié	Tomato
茄子	qiézi	Eggplant
柠檬	níngméng	Lemon
留连	liúlián	Durian
奇異果	míhóutáo	Kiwi
