//New HSK (2013)/Level 1
爱[愛]	ài
八[八]	bā
爸爸[爸爸]	bàba
杯子[杯子]	bēizi
北京[北京]	Běijīng
本[本]	běn
不[不]	bù
不客气[不客氣]	bú kèqi
菜[菜]	cài
茶[茶]	chá
吃[吃]	chī
出租车[出租車]	chūzūchē
打电话[打電話]	dǎ diànhuà
大[大]	dà
的[的]	de
点[點]	diǎn
电脑[電腦]	diànnǎo
电视[電視]	diànshì
电影[電影]	diànyǐng
东西[東西]	dōngxi
都[都]	dōu
读[讀]	dú
对不起[對不起]	duìbuqǐ
多[多]	duō
多少[多少]	duōshao
儿子[兒子]	érzi
二[二]	èr
饭店[飯店]	fàndiàn
飞机[飛機]	fēijī
分钟[分鐘]	fēnzhōng
高兴[高興]	gāoxìng
个[個]	ge
工作[工作]	gōngzuò
狗[狗]	gǒu
汉语[漢語]	Hànyǔ
好[好]	hǎo
号[號]	hào
喝[喝]	hē
和[和]	hé
很[很]	hěn
后面[后面]	hòumian
回[回]	huí
会[會]	huì
几[幾]	jǐ
家[家]	jiā
叫[叫]	jiào
今天[今天]	jīntiān
九[九]	jiǔ
开[開]	kāi
看[看]	kàn
看见[看見]	kànjiàn
块[塊]	kuài
来[來]	lái
老师[老師]	lǎoshī
了[了]	le
冷[冷]	lěng
里[裡]	lǐ
六[六]	liù
妈妈[媽媽]	māma
吗[嗎]	ma
买[買]	mǎi
猫[貓]	māo
没关系[沒關系]	méiguānxi
没有[沒有]	méiyǒu
米饭[米飯]	mǐfàn
名字[名字]	míngzi
明天[明天]	míngtiān
哪[哪]	nǎ
哪儿[哪兒]	nǎr
那[那]	nà
呢[呢]	ne
能[能]	néng
你[你]	nǐ
年[年]	nián
女儿[女兒]	nǚ'ér
朋友[朋友]	péngyou
漂亮[漂亮]	piàoliang
苹果[蘋果]	píngguǒ
七[七]	qī
前面[前面]	qiánmiàn
钱[錢]	qián
请[請]	qǐng
去[去]	qù
热[熱]	rè
人[人]	rén
认识[認識]	rènshi
三[三]	sān
商店[商店]	shāngdiàn
上[上]	shàng
上午[上午]	shàngwǔ
少[少]	shǎo
谁[誰]	shéi
什么[什麼]	shénme
十[十]	shí
时候[時候]	shíhou
是[是]	shì
书[書]	shū
水[水]	shuǐ
水果[水果]	shuǐguǒ
睡觉[睡覺]	shuìjiào
说[說]	shuō
四[四]	sì
岁[歲]	suì
他[他]	tā
她[她]	tā
太[太]	tài
天气[天氣]	tiānqì
听[聽]	tīng
同学[同學]	tóngxué
喂[喂]	wéi
我[我]	wǒ
我们[我們]	wǒmen
五[五]	wǔ
喜欢[喜歡]	xǐhuan
下[下]	xià
下午[下午]	xiàwǔ
下雨[下雨]	xiàyǔ
先生[先生]	xiānsheng
现在[現在]	xiànzài
想[想]	xiǎng
小[小]	xiǎo
小姐[小姐]	xiǎojie
些[些]	xiē
写[寫]	xiě
谢谢[謝謝]	xièxie
星期[星期]	xīngqī
学生[學生]	xuésheng
学习[學習]	xuéxí
学校[學校]	xuéxiào
一[一]	yī
一点儿[一點兒]	yìdiǎnr
衣服[衣服]	yīfu
医生[醫生]	yīshēng
医院[醫院]	yīyuàn
椅子[椅子]	yǐzi
有[有]	yǒu
月[月]	yuè
再见[再見]	zàijiàn
在[在]	zài
怎么[怎麼]	zěnme
怎么样[怎麼樣]	zěnmeyàng
这[這]	zhè
中国[中國]	Zhōngguó
中午[中午]	zhōngwǔ
住[住]	zhù
桌子[桌子]	zhuōzi
字[字]	zì
昨天[昨天]	zuótiān
坐[坐]	zuò
做[做]	zuò

//New HSK (2013)/Level 2
吧[吧]	ba
白[白]	bái
百[百]	bǎi
帮助[幫助]	bāngzhù
报纸[報紙]	bàozhǐ
比[比]	bǐ
别[別]	bié
宾馆[賓館]	bīnguǎn
长[長]	cháng, zhǎng
唱歌[唱歌]	chànggē
出[出]	chū
穿[穿]	chuān
次[次]	cì
从[從]	cóng
错[錯]	cuò
打篮球[打籃球]	dǎ lánqiú
大家[大家]	dàjiā
到[到]	dào
得[得]	de
等[等]	děng
弟弟[弟弟]	dìdi
第一[第一]	dìyī
懂[懂]	dǒng
对[對]	duì
房间[房間]	fángjiān
非常[非常]	fēicháng
服务员[服務員]	fúwùyuán
高[高]	gāo
告诉[告訴]	gàosu
哥哥[哥哥]	gēge
给[給]	gěi
公共汽车[公共汽車]	gōnggòng qìchē
公司[公司]	gōngsī
贵[貴]	guì
过[過]	guò
还[還]	hái
孩子[孩子]	háizi
好吃[好吃]	hǎochī
黑[黑]	hēi
红[紅]	hóng
火车站[火車站]	huǒchēzhàn
