8点40分	8點40分	8 dian3 40 fen1	8 diǎn 40 fēn	8:40 (time of day)
2009年7月6日	2009年7月6日	2009 nian2 7 yue4 6 ri4	2009 nián 7 yuè 6 rì	6th July 2009
星期四	星期四	xing1qi1si4	xīngqīsì	Thursday
他今年24岁。	他今年24歲。	Ta1 jin1nian2 24 sui4．	Tā jīnnián 24 suì．	He is 24 this year.
15块	15塊	15 kuai4	15 kuài	RMB15
我的电话是58590000。	我的電話是58590000。	Wo3 de dian4hua4 shi4 58590000.	Wǒ de diànhuà shì 58590000.	My phone number is 58590000.
一个	一個	yi2 ge	yí ge	One item (m.w., general)
3本	3本	3 ben3	3 běn	Three items (m.w., e.g. books)
这个	這個	zhe4ge	zhège	This
那些	那些	na4xie1	nàxiē	Those
几本	幾本	ji3 ben3	jǐ běn	Several/How many items (e.g. books)
我不是学生。	我不是學生。	Wo3 bu2 shi4 xue2sheng．	Wǒ bú shì xuésheng．	I am not a student.
他没去医院。	他沒去醫院。	Ta1 mei2 qu4 yi1yuan4．	Tā méi qù yīyuàn．	He didn't go to hospital.
她很高兴。	她很高興。	Ta1 hen3 gao1xing4．	Tā hěn gāoxìng．	She is very happy.
太好了！	太好了！	Tai4 hao3 le!	Tài hǎo le!	That's great!
我们都看见那个人了。	我們都看見那個人了。	Wo3men dou1 kan4jian4 na4ge ren2 le．	Wǒmen dōu kànjiàn nàge rén le．	We all saw that man.
我和你	我和你	wo3 he2 ni3	wǒ hé nǐ	Me and you
我住在北京。	我住在北京。	Wo3 zhu4 zai4 Bei3jing1．	Wǒ zhù zài Běijīng．	I live in Beijing.
我会做饭。	我會做飯。	Wo3 hui4 zuo4 fan4．	Wǒ huì zuò fàn．	I can cook.
你什么时候能来？	你什麼時候能來？	Ni3 shen2me shi2hou neng2 lai2?	Nǐ shénme shíhou néng lái?	What time can you come?
我的电脑	我的電腦	wo3 de dian4nao3	wǒ de diànnǎo	My computer
她去医院了。	她去醫院了。	Ta1 qu4 yi1yuan4 le．	Tā qù yīyuàn le．	She went to hospital.
他是医生吗？	他是醫生嗎？	Ta1 shi4 yi1sheng1 ma?	Tā shì yīshēng ma?	Is he a doctor?
你在哪儿呢？	你在哪兒呢？	Ni3 zai4 na3r ne?	Nǐ zài nǎr ne?	Where are you?
