//HSK 1 Examples
8点40分	8 diǎn 40 fēn	8:40 (time of day)
2009年7月6日	2009 nián 7 yuè 6 rì	6th July 2009
星期四	xīngqīsì	Thursday
他今年24岁。	Tā jīnnián 24 suì．	He is 24 this year.
15块	15 kuài	RMB15
我的电话是58590000。	Wǒ de diànhuà shì 58590000.	My phone number is 58590000.
一个	yí ge	One item (m.w., general)
3本	3 běn	Three items (m.w., e.g. books)
这个	zhège	This
那些	nàxiē	Those
几本	jǐ běn	Several/How many items (e.g. books)
我不是学生。	Wǒ bú shì xuésheng．	I am not a student.
他没去医院。	Tā méi qù yīyuàn．	He didn't go to hospital.
她很高兴。	Tā hěn gāoxìng．	She is very happy.
太好了！	Tài hǎo le!	That's great!
我们都看见那个人了。	Wǒmen dōu kànjiàn nàge rén le．	We all saw that man.
我和你	wǒ hé nǐ	Me and you
我住在北京。	Wǒ zhù zài Běijīng．	I live in Beijing.
我会做饭。	Wǒ huì zuò fàn．	I can cook.
你什么时候能来？	Nǐ shénme shíhou néng lái?	What time can you come?
我的电脑	wǒ de diànnǎo	My computer
她去医院了。	Tā qù yīyuàn le．	She went to hospital.
他是医生吗？	Tā shì yīshēng ma?	Is he a doctor?
你在哪儿呢？	Nǐ zài nǎr ne?	Where are you?
喂，你好。	Wéi, nǐ hǎo.	Hello? (on the phone)
明天星期六。	Míngtiān xīngqīliù．	Tomorrow is Saturday.
我认识他。	Wǒ rènshi tā．	I know him.
天气很好。	Tiānqì hěn hǎo．	The weather is good.
她不在饭店。	Tā bú zài fàndiàn．	She is not at the hotel/restaurant.
她没去看电影。	Tā méi qù kàn diànyǐng．	She didn't go to the movie.
这是你的桌子吗？	Zhè shì nǐ de zhuōzi ma?	Is this your table?
我是老师，你呢？	Wǒ shì lǎoshī, nǐ ne?	I am a teacher. What about you?
那个人是谁？	Nàge rén shì shéi?	Who is that person?
这些杯子，你喜欢哪一个？	Zhèxiē bēizi， nǐ xǐhuan nǎ yí ge?	Which one of these cups do you like?
你想去哪儿？	Nǐ xiǎng qù nǎr?	Where do you want to go?
你爱吃什么水果？	Nǐ ài chī shénme shuǐguǒ?	Which fruit do you like?
