1,1-1,爱,ai4,to love; affection; to be fond of; to like,
2,1-2,八,ba1,eight; 8,
3,1-3,爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]",
4,2-4,吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?,
5,2-5,白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,
6,2-6,百,bai3,hundred; numerous; all kinds of; surname Bai,
7,2-7,帮助,bang1 zhu4,assistance; aid; to help; to assist,
8,2-8,报纸,bao4 zhi3,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",
9,1-4,杯子,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",
10,1-5,北京,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government",
11,1-6,本,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",
12,2-12,比,bi3,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",
13,2-13,别,bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,
14,1-7,不客气,bu4 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it,
15,1-8,不,bu4,(negative prefix); not; no,
16,1-9,菜,cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",
17,1-10,茶,cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",
18,2-18,长,chang2,length; long; forever; always; constantly,
19,2-19,唱歌,chang4 ge1,to sing a song,
20,1-11,吃,chi1,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,
21,2-21,出,chu1,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc",
22,1-12,出租车,chu1 zu1 che1,taxi,
23,2-23,穿,chuan1,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,
24,2-24,船,chuan2,"a boat; vessel; ship; CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",
25,2-25,次,ci4,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",
26,2-26,从,cong2,"from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zong4 and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong",
27,2-27,错,cuo4,mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[ge4],
28,1-13,打电话,da3 dian4 hua4,to make a telephone call,
29,2-29,打篮球,da3 lan2 qiu2,play basketball,
30,1-14,大,da4,big; huge; large; major; great; wide; deep; oldest; eldest,
31,2-31,大家,da4 jia1,authority; everyone,
32,2-32,但是,dan4 shi4,but; however,
33,2-33,到,dao4,to (a place); until (a time); up to; to go; to arrive,
34,1-15,的,de5,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive",
35,2-35,得,de5,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc",
36,2-36,等,deng3,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once,
37,2-37,弟弟,di4 di5,"younger brother; CL:個|个[ge4],位[wei4]",
38,2-38,第一,di4 yi1,first; number one,
39,1-16,点,dian3,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,
40,1-17,电脑,dian4 nao3,computer; CL:臺|台[tai2],
41,1-18,电视,dian4 shi4,"television; TV; CL:臺|台[tai2],個|个[ge4]",
42,1-19,电影,dian4 ying3,"movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",
43,1-20,东西,dong1 xi5,"thing; stuff; person; CL:個|个[ge4],件[jian4]",
44,2-44,懂,dong3,to understand; to know,
45,1-21,都,dou1,"all, both; entirely (due to) each; even; already",
46,1-22,读,du2,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",
47,2-47,对,dui4,couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right,
48,1-23,对不起,dui4 bu5 qi3,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),
49,1-24,多,duo1,many; much; a lot of; numerous; multi-,
50,1-25,多少,duo1 shao3,number; amount; somewhat,
51,1-26,儿子,er2 zi5,son,
52,1-27,二,er4,two; 2; stupid (Beijing dialect),
53,1-28,饭馆,fan4 guan3,restaurant; CL:家[jia1],
54,2-54,房间,fang2 jian1,room; CL:間|间[jian1],
55,2-55,非常,fei1 chang2,unusual; extraordinary; extreme; very; exceptional,
56,1-29,飞机,fei1 ji1,airplane; CL: 架[jia4],
57,1-30,分钟,fen1 zhong1,minute,
58,2-58,服务员,fu2 wu4 yuan2,waiter; waitress; attendant; customer service personnel; CL:個|个[ge4],
59,2-59,高,gao1,high; tall; above average; loud; your (honorific); surname Gao,
60,1-31,高兴,gao1 xing4,happy; glad; willing (to do sth); in a cheerful mood,
61,2-61,告诉,gao4 su5,to tell; to inform; to let know,
62,2-62,哥哥,ge1 ge5,"older brother; CL:個|个[ge4],位[wei4]",
63,1-32,个,ge4,individual; this; that; size; classifier for people or objects in general,
64,2-64,给,gei3,to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),
65,2-65,公共汽车,gong1 gong4 qi4 che1,"bus; CL:輛|辆[liang4],班[ban1]",
66,2-66,公斤,gong1 jin1,kilogram (kg),
67,2-67,公司,gong1 si1,(business) company; company; firm; corporation; incorporated; CL:家[jia1],
68,1-33,工作,gong1 zuo4,"job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]",
69,1-34,狗,gou3,"dog; CL:隻|只[zhi1],條|条[tiao2]",
70,2-70,贵,gui4,expensive; noble; your (name); precious,
71,2-71,过,guo4,(experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo,
72,2-72,还,hai2,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,
73,2-73,孩子,hai2 zi5,child,
74,1-35,汉语,Han4 yu3,Chinese language; CL:門|门[men2],
75,1-36,好,hao3,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),
76,2-76,好吃,hao3 chi1,tasty; delicious,
77,2-77,号,hao4,day of a month; (suffix used after) name of a ship; (ordinal) number,
78,1-37,喝,he1,to drink; to shout (a command); My goodness!,
79,1-38,和,he2,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4,
80,2-80,黑,hei1,black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China,
81,1-39,很,hen3,(adverb of degree); quite; very; awfully,
82,2-82,红,hong2,bonus; popular; red; revolutionary,
83,1-40,后面,hou4 mian5,rear; back; behind; later; afterwards,
84,2-84,欢迎,huan1 ying2,to welcome; welcome,
85,1-41,回,hui2,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),
86,2-86,回答,hui2 da2,to reply; to answer; the answer; CL:個|个[ge4],
87,1-42,会,hui4,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3),
88,1-43,火车站,huo3 che1 zhan4,train station,
89,2-89,机场,ji1 chang3,"airport; airfield; CL:家[jia1],處|处[chu4]",
90,2-90,鸡蛋,ji1 dan4,"(chicken) egg; hen's egg; CL:個|个[ge4],打[da2]",
91,1-44,几,ji3,how much; how many; several; a few,
92,1-45,家,jia1,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[ge4]",
93,2-93,件,jian4,"item; component; classifier for events, things, clothes etc",
94,1-46,叫,jiao4,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),
95,2-95,教室,jiao4 shi4,classroom; CL:間|间[jian1],
96,2-96,姐姐,jie3 jie5,older sister; CL:個|个[ge4],
97,2-97,介绍,jie4 shao4,to present; to introduce; to recommend; to suggest; to let know; to brief,
98,1-47,今天,jin1 tian1,today; at the present; now,
99,2-99,进,jin4,"to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal",
100,2-100,近,jin4,near; close to; approximately,
101,1-48,九,jiu3,nine; 9,
102,2-102,就,jiu4,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,
103,2-103,觉得,jue2 de5,to think; to feel,
104,2-104,咖啡,ka1 fei1,coffee; CL:杯[bei1],
105,1-49,开,kai1,to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin,
106,2-106,开始,kai1 shi3,to begin; beginning; to start; initial; CL:個|个[ge4],
107,1-50,看,kan1,to look after; to take care of; to watch; to guard,
108,1-51,看见,kan4 jian4,to see; to catch sight of,
109,2-109,考试,kao3 shi4,exam; CL:次[ci4],
110,2-110,可能,ke3 neng2,might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4],
111,2-111,可以,ke3 yi3,can; may; possible; able to,
112,2-112,课,ke4,"subject; course; class; lesson; CL:堂[tang2],节|節[jie2],門|门[men2]",
113,1-52,块,kuai4,"lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱",
114,2-114,快,kuai4,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant,
115,2-115,快乐,kuai4 le4,happy; merry,
116,1-53,来,lai2,to come; to arrive; to come round; ever since; next,
117,1-54,老师,lao3 shi1,"teacher; CL:個|个[ge4],位[wei4]",
118,1-55,了,le5,(modal particle intensifying preceding clause); (completed action marker),
119,2-119,累,lei4,tired; weary; to strain; to wear out; to work hard,
120,1-56,冷,leng3,cold,
121,2-121,离,li2,to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old),
122,1-57,里,li3,lining; interior; inside; internal; also written 裡|里 [li3],
123,2-123,两,liang3,both; two; ounce; some; a few; tael; weight equal to 50 grams,
124,1-58,零,ling2,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,
125,1-59,六,liu4,six; 6,
126,2-126,路,lu4,road; path; way; CL:條|条[tiao2],
127,2-127,旅游,lv3 you2,trip; journey; tourism; travel; tour,
128,1-60,妈妈,ma1 ma5,"mama; mommy; mother; CL:個|个[ge4],位[wei4]",
129,1-61,吗,ma5,(question tag),
130,1-62,买,mai3,to buy; to purchase,
131,2-131,卖,mai4,to sell; to betray; to spare no effort; to show off or flaunt,
132,2-132,慢,man4,slow,
133,2-133,忙,mang2,busy; hurriedly,
134,1-63,猫,mao1,cat; CL:隻|只[zhi1],
135,1-64,没,mei2,(negative prefix for verbs); have not; not,
136,1-65,没关系,mei2 guan1 xi5,it doesn't matter,
137,2-137,每,mei3,each; every,
138,2-138,妹妹,mei4 mei5,younger sister; fig. younger woman (esp. girl friend or rival); CL:個|个[ge4],
139,2-139,门,men2,"gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology",
140,1-66,米饭,mi3 fan4,(cooked) rice,
141,1-67,明天,ming2 tian1,tomorrow,
142,1-68,名字,ming2 zi5,name (of a person or thing); CL:個|个[ge4],
143,1-69,哪,na3,how; which,
143,1-69,哪儿,na3 r5,where?; wherever; anywhere,
144,1-70,那,na4,"that; those; then (in that case); commonly pr. nei4 before a classifier, esp. in Beijing",
144,1-70,那儿,na4 r5,there,
145,2-145,男人,nan2 ren2,a man; a male; men; CL:個|个[ge4],
