1,3-1,阿姨,a1 yi2,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4],,
2,3-2,啊,a5,"modal particle ending sentence, showing affirmation, approval, or consent",,
3,3-3,矮,ai3,low; short (in length),,
4,1-1,爱,ai4,to love; affection; to be fond of; to like,,
5,3-5,爱好,ai4 hao4,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],,
6,3-6,安静,an1 jing4,quiet; peaceful; calm,,
7,1-2,八,ba1,eight; 8,,
8,3-8,把,ba3,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,,
9,1-3,爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]",,
10,2-4,吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?,,
11,2-5,白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,,
12,2-6,百,bai3,hundred; numerous; all kinds of; surname Bai,,
13,3-13,班,ban1,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4],,
14,3-14,搬,ban1,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,,
15,3-15,半,ban4,half; semi-; incomplete; (after a number) and a half,,
16,3-16,办法,ban4 fa3,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]",,
17,3-17,办公室,ban4 gong1 shi4,an office; business premises; a bureau; CL:間|间[jian1],,
18,3-18,帮忙,bang1 mang2,to help; to lend a hand; to do a favor; to do a good turn,,
19,2-7,帮助,bang1 zhu4,assistance; aid; to help; to assist,,
20,3-20,包,bao1,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]",,
21,3-21,饱,bao3,to eat till full; satisfied,,
22,2-8,报纸,bao4 zhi3,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",,
23,1-4,杯子,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",,
24,3-24,北方,bei3 fang1,north; the northern part a country; China north of the Yellow River,,
25,1-5,北京,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government",,
26,3-26,被,bei4,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),,
27,1-6,本,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",,
28,3-28,鼻子,bi2 zi5,"nose; CL:個|个[ge4],隻|只[zhi1]",,
29,2-12,比,bi3 ,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",,
30,3-30,比较,bi3 jiao4,compare; contrast; fairly; comparatively; relatively; quite; rather,,
31,3-31,比赛,bi3 sai4,"competition (sports etc); match; CL:場|场[chang3],次[ci4]",,
32,3-32,必须,bi4 xu1,to have to; must; compulsory; necessarily,,
33,3-33,变化,bian4 hua4,change; variation; to change; to vary; CL:個|个[ge4],,
34,3-34,表示,biao3 shi4,to express; to show; to say; to state; to indicate; to mean,,
35,3-35,表演,biao3 yan3,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3],,
36,2-13,别,bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,,
37,3-37,别人,bie2 ren2,other people; others; other person,,
