扯,手止
屮,屮
彻,彳切
徹,育攵
撤,手徹
澈,水徹
尘,小土
臣,臣
忱,心冘
沉,水冗
辰,厂二
陈,阜东
晨,日辰
闯,门马
衬,衣寸
称,禾尔
趁,走昣
铛,金当
撑,手掌
丞,子廾
成,戈
呈,口王
承,手人
诚,言成
城,土成
乘,禾北
惩,征心
程,禾呈
澄,水登
橙,木登
逞,辶呈
秤,禾平
吃,口乞
蚩,屮虫
嗤,口蚩
痴,疒知
弛,弓也
池,水也
驰,马也
迟,辶尺
持,手寺
匙,是匕
尺,尺
侈,人多
齿,止人凵
耻,耳止
彳,彳
斥,斤
赤,土火
翅,支羽
充,子儿
冲,冫中
虫,虫
崇,山宗
宠,宀龙
抽,手由
仇,人九
绸,糸周
畴,田寿
愁,秋心
稠,禾周
筹,竹寿
酬,酉州
丑,又
臭,自犬
出,屮凵
初,衣刀
刍,勹屮
除,阜余
厨,厂豆寸
锄,金助
雏,刍隹
橱,木厨
础,石出
储,人诸
楚,林足
处,夂卜
触,角虫
矗,直
揣,手耑
川,川
リ,リ
阿,阜可
啊,口阿
哎,口艾
哀,衣口
唉,口矣
埃,土矣
挨,手矣
癌,疒品山
矮,矢委
蔼,艹言曷
艾,艹乂
爱,爪冖友
隘,阜益
碍,石旦寸
安,宀女
氨,气安
庵,广奄
鞍,革安
俺,人奄
岸,山厂干
按,手安
案,安木
暗,日音
肮,月亢
昂,日卬
凹,凹
敖,二放
熬,敖火
拗,手幼
袄,衣夭
傲,人敖
奥,冂米大
澳,水奥
懊,心奥
八,八
巴,巴
叭,口八
扒,手八
吧,口巴
芭,艹巴
疤,疒巴
捌,手别
笆,竹巴
犮,犬
拔,手犮
跋,足犮
把,手巴
靶,革巴
坝,土贝
爸,父巴
罢,网去
霸,雨革月
掰,手分
白,日
百,一白
柏,木白
摆,手罢
败,贝攵
拜,手丰
扳,手反
班,王リ
般,舟殳
颁,分页
斑,王文
搬,手般
板,木反
版,片反
办,力
半,八牛
伴,人半
扮,手分
拌,手半
绊,糸半
瓣,辛瓜
邦,丰邑
帮,邦巾
梆,木邦
绑,糸邦
榜,木旁
膀,月旁
蚌,虫丰
傍,人旁
棒,木奉
谤,言旁
磅,石旁
勹,勹
包,勹巳
苞,艹包
胞,月包
褒,衣保
雹,雨包
宝,宀玉
饱,食包
保,人呆
堡,保土
报,手卩又
抱,手包
豹,豸勺
暴,日共水
爆,火暴
卑,又甲
杯,木不
悲,非心
碑,石卑
北,匕
贝,贝
狈,犬贝
备,夂田
背,北月
倍,人咅
被,衣皮
惫,备心
焙,火咅
辈,非车
奔,大十廾
贲,十贝
本,木一
笨,竹本
崩,山朋
绷,糸朋
泵,石水
蹦,足崩
皀,皀
逼,辶畐
荸,艹孛
