时间	shíjiān	time; period	
死	sǐ	to die; dead; fixed; impassible; extremely	
打算	dǎsuàn	to plan; intend	
打	dǎ, dá	"to hit; to beat; to play; to type
dozen"	
警	jǐng	to alert; alarm; to warn; police	
官	guān	an official; organ; governmental	
介绍	jièshào	to introduce; recommend; introduction	
房间	fángjiān	room	
间	jiān, jiàn	"(mw for rooms); space; time; among
a gap; to separate"	
房	fáng	house; building; room	
女朋友	nǚpéngyou	girlfriend	
灰	huī	ash; gray (grey); dust; lime	
已经	yǐjing	already	
以	yǐ	to use; according to; so as to; for; by	
知	zhī	know	
亿	yì	one hundred million (100,000,000)	
识	shí	to know; recognize	
告	gào	to tell; inform; to say	
⺈	dāo	knife; blade (Kangxi radical 18, var. 1; 2 strokes)	
百亿	bǎiyì	Ten billion (10,000,000,000)	
十	shí	ten (Kangxi radical 24)	
二	èr	two (Kangxi radical 7)	
二十	èrshí	20	
就是	jiùshì	(emphasizes that sth. is exactly as stated); be exactly	
请	qǐng	please; invite; to request	
十亿	shíyì	one billion; giga- (1,000,000,000)	
幺	yāo	short; tiny; one (spoken, used for telephone numbers, etc.); youngest (Kangxi radical 52)	
再	zài	again; once more	
子	zǐ, zi	"son; child; (1st Earthly Branch) (Kangxi radical 39); seed
(noun suffix)"	
椅	yǐ	chair	
椅子	yǐzi	chair	
午	wǔ	noon (7th Earthly Branch)	
中	zhōng, zhòng	"middle; among; China
to hit (the mark); be hit by"	
中午	zhōngwǔ	noon; midday	
漂	piào, piāo, piǎo	"elegant
to float
to bleach"	
囗	wéi	enclosure (Kangxi radical 31)	
甘	gān	sweet; willing (Kangxi radical 99); Gansu province (abbr.)	
个	ge, gè	"general measure word
individual"	
这	zhè, zhèi	this; these	
这个	zhège	this	
天	tiān	day; sky; heaven; weather	
昨	zuó	yesterday	
昨天	zuótiān	yesterday	
肉	ròu	meat; flesh (Kangxi radical 130)	
鸡	jī	chicken	
鸡肉	jīròu	chicken (meat)	
谢	xiè	thank; (of flowers) wither	
谢谢	xièxie	to thank; thank you	
沸	fèi	(adj. or verb) boil	
目	mù	eye; item; section (Kangxi radical 109)	
像	xiàng	be like; resemble; appearance; appear	
快	kuài	fast; quick; swift	
警官	jǐngguān	police officer; officer; sergeant	
千亿	qiānyì	one hundred billion (100,000,000,000)	
觉	jué, jiào	"to feel; wake up; sense
sleep"	
古	gǔ	ancient; old	
一	yī	one; once; a (article) (Kangxi radical 1)	
一一	yīyī	one by one; one after another	
星期五	xīngqīwǔ	Friday	
妹	mèi	younger sister	
麦片	màipiàn	oatmeal	
亮	liàng	bright; light; shiny	
漂亮	piàoliang	pretty; beautiful	
钟	zhōng	clock; bell	
