HSK 1
from HSK 2:
对	(for 对不起)
高	(for 高兴)
再	(for 再见)
女	(for 女儿)
出	(for 出租车)
from HSK 3:
先	(for 先生)
东	(for 东西)
西	(for 东西)
分	(for 分钟)
关	(for 没关系)
老	(for 老师)
米	(for 米饭)
from HSK 4:
租	(for 出租车)
from HSK 5:
亮	(for 漂亮)
系	(for 没关系)

HSK 2
from HSK 3:
为	(for 因为)
班	(for 上班)
试	(for 考试)
教	(for 教室)
条	(for 面条)
站	(for 火车站)
西	(for 西瓜)
from HSK 4:
以	(for 可以)
场	(for 机场)
火	(for 火车站)
from HSK 5:
所	(for 所以)
非	(for 非常)
正	(for 正在)
便	(for 便宜)

HSK 3
from HSK 4:
当	(for 当然)
而	(for 而且)
以	(for 以前)
重	(for 重要)
照	(for 照片)
刚	(for 刚才)
节	(for 节目)
轻	(for 年轻)
响	(for 影响)
行	(for 银行)
干	(for 干净)
满	(for 满意)
提	(for 提高)
香	(for 香蕉)
空	(for 空调)
假	(for 请假)
留	(for 留学)
from HSK 5:
方	(for 地方)
直	(for 一直)
系	(for 关系)
片	(for 照片)
闻	(for 新闻)
银	(for 银行)
根	(for 根据)
朵	(for 耳朵)
便	(for 方便)
平	(for 水平)
数	(for 数学)
亮	(for 月亮)
from HSK 6:
束	(for 结束)
除	(for 除了)

HSK 4
from HSK 5:
所	(for 所有)
切	(for 一切)
划	(for 计划)
正	(for 真正)
系	(for 联系)
直	(for 直接)
方	(for 方法)
便	(for 随便)
支	(for 支持)
则	(for 否则)
首	(for 首先)
克	(for 巧克力)
数	(for 数字)
断	(for 判断)
平	(for 平时)
批	(for 批评)
签	(for 签证)
翻	(for 翻译)
占	(for 占线)
from HSK 6:
拾	(for 收拾)
染	(for 污染)
乘	(for 乘坐)
泼	(for 活泼)
折	(for 打折)

HSK 5
from HSK 6:
除	(for 除非)
刺	(for 刺激)
玉	(for 玉米)
染	(for 传染)
熬	(for 熬夜)
卷	(for 试卷)
