//HSK 3 Examples
5|点|1|刻	5 diǎn 1 kè	Kwart na 5
10000{米}	10000 {mǐ}	10 000 {meter}
四|五|千|个	sìwǔqiān gè	vier- of vijfduizend van
800{多}人	800 {duō} rén	{Meer dan} 800 mensen.
一|双|鞋	yīshuāng xié	Een paar schoenen.
两|条|鱼	liǎng tiáo yú	Twee vissen.
第|10|层	dì 10 céng	10e verdieping.
3|角|5|分	3 jiǎo 5 fēn 	35 cent.
{两}种	{liǎng} zhǒng	{Twee} soorten.
他|坐了|一会儿|。	tā zuòle yīhuǐ'er.	Hij bleef een tijdje.
快|一点|儿|。	kuài yīdiǎn er.	Haast u.
我|明天|一定|来|。	wǒ míngtiān yīdìng lái.	Ik kom morgen zeker.
我们|必须|想|个|好|办法|。	wǒmen bìxū xiǎng gè hǎo bànfǎ.	We moeten een goed plan uitdokteren.
明天|会|更|好|。	míngtiān huì gèng hǎo.	Morgen zal het beter zijn.
雨|越|下越|大|。	yǔ yuè xiàyuè dà.	De regen wordt alsmaar zwaarder.
这儿|的|西瓜{特别}甜|。	zhè'er de xīguā {tèbié} tián.	De watermeloen hier is {heel} zoet.
这些|孩子|多|可爱|呀|！	zhèxiē háizi duō kě'ài ya!	Deze kinderen zijn zo schattig!
她|唱|得|好|极了|！	tā chàng de hǎo jíle!	Ze zong zeer goed.
中国|的|大|城市|，|我|几乎|都|去过|。	Zhōngguó de dà chéngshì, wǒ jīhū dōu qùguò.	Grote Chinese steden, ik heb ze bijn allemaal bezocht. 
这些|药|一共|300|元|。	zhèxiē yào yīgòng 300 yuán.	Deze medicijnen samen kosten 300 RMB.
我|只|去过|北京|一次|。	wǒ zhǐ qùguò Běijīng yīcì.	Ik ben maar één maal naar Beijing geweest.
我|先|说|几|句|。	wǒ xiān shuō jǐ jù.	Ik zal eerst enkele zinnen zeggen.
他|晚上|11|点|才|下班|。	tā wǎnshàng 11 diǎn cái xiàbān.	Hij kwam pas om 11u 's avonds terug van het werk.
他|的|成绩|一直|很|好|。	tā de chéngjī yīzhí hěn hǎo.	Zijn punten zijn altijd heel goed.
她|总|是|很|忙|。	tā zǒng shì hěn máng.	Zij heeft het altijd zeer druk.
请|安静|，|节目|马上|开始|。	qǐng ānjìng, jiémù mǎshàng kāishǐ.	Gelieve stil te zijn, de show gaat zo dadelijk beginnen.
考试|终于|结束|了|。	kǎoshì zhōngyú jiéshùle.	Het examen is uiteindelijk gestopt.
这|道|题|其实|很|容易|。	zhè dào tí qíshí hěn róngyì.	Dit probleem is eigenlijk zeer gemakkelijk.
那样|做|当然|不|可以|。	nàyàng zuò dāngrán bù kěyǐ.	Dat doen is uiteraard niet toegelaten. 
今天|他|又|迟到|了|。	jīntiān tā yòu chídàole.	Hij is weer laat vandaag.
最近|他|经常|去|爬山|。	zuìjìn tā jīngcháng qù páshān.	Recentelijk heeft hij veel gaan klimmen.
房子|虽然|旧|，|但是|很|干净|。	fángzi suīrán jiù, dànshì hěn gānjìng.	Hoewel het huis zeer oud is, is het heel schoon.
