//Chineasy
山	shān	mountain
出	chū	get out
木	mù	tree
口	kǒu	mouth
呆	dāi	idiot
杏	xìng	apricot, almond
林	lín	woods
森	sēn	forest
本	běn	origin
人	rén	person
从	cóng	to follow
众	zhòng	crowd
囚	qiú	prisoner
山人	shānrén	hermit
大	dà	big
来[來]	lái	to come
天	tiān	sky
夫	fū 	man
焚	fén	burning
火	huǒ	fire
火山	huǒshān	volcano
大火	dàhuǒ	big fire
火大	huǒdà	angry
休	xiū	rest
未	wèi	not yet
末	mò	the end
沐	mù	wash
淋	lín	drip
沫	mò	foam
日	rì	sun
月	yuè	moon, flesh (radical)
朋	péng	friend
品	pǐn	variety of quality
昌	chāng	prosperous
唱	chàng	sing
门[門]	mén	door
女	nǚ	woman
女人	nǚrén	woman
水	shuǐ	water
牛	niú	cow
豕	shǐ	pig (radical)
猪[豬]	zhū	pig
宀	mián	roof (radical)
旦	dàn 	sunrise
问[問]	wèn	ask
明	míng	bright
白	bái	white
白白	báibái	in vain
闪[閃]	shǎn	dodge
东[東]	dōng	East
间[閒]	xián	leisure
们[們]	men	indicates plural
间[間]	jiān, jiàn	space
闩[閂]	shuān	bolt
查	chá	to check
泊	bó	anchor
淡	dàn	weak, tasteless
渣	zhā	waste products
体[體]	tǐ	body
保	bǎo	to protect
太	tài	extreme
王	wáng	king
玉	yù	jade
珏	jué	two pieces of jade
珀	pò	amber
主	zhǔ	master
柱	zhù	pillar
住	zhù	to reside
宝[寳]	bǎo	treasure
全	quán	whole
国[國]	guó	country
淼	miǎo	a wide expanse of water
肤[膚]	fū	skin
胆[膽]	dǎn	courage, gallbladder
囡	nān	daughter
因	yīn	to cause
困	kùn	to surround
如	rú	to obey
姻	yīn	marriage
安	ān	peaceful
牢	láo	prison
家	jiā 	home
板[闆]	bǎn	boss
岩	yán	rock
崩	bēng	rupture
啖	dàn	to eat
宋	sòng	dynasty, surname
伞[傘]	sǎn	umbrella
早	zǎo	early, morning
宣	xuān 	to proclaim
伙[夥]	huǒ	group, dude
入	rù	to enter
本人	běnrén	one's self
大门[大門]	dàmén	front door
门口[門口]	ménkǒu	doorway, entrance
山东[山東]	Shāndōng	Shandong Province
本月	běnyuè	this month
日本	Rìběn	Japan






