// HSK 2 Examples
6{元}	6 {yuán}	{RMB}6
{第}三	{dì} sān	3{rd}
9{公斤}	9 {gōngjīn}	9{kg}
等{一下}。	děng {yíxià}．	Wait {a moment}.											Alstublieft even wachten, even geduld, een momentje.
{每}次	{měi} cì	{Every} time												Elke keer.
你{别}去|游泳|了|。	nǐ {bié} qù yóuyǒng le．	{Don't} go to swim									Ga {niet} zwemmen.
那里|的|天气|非常|热|。	nàlǐ de tiānqì fēicháng rè．	The weather there is very hot.							Het weer daar is heel warm.
我|最|喜欢|喝|咖啡|。	wǒ zuì xǐhuan hē kāfēi．	Coffee is my favourite drink.								Koffie is mijn favoriete drank.
他们{一起}去|机场|了|。	tāmen {yìqǐ} qù jīchǎng le．	They went to the airport {together}.						Ze gingen {samen} naar de luchthaven.
我们|正在|看|电视|。	wǒmen zhèngzài kàn diànshì．	We are watching TV.								We zijn TV aan het kijken.
他{已经}到|学校|了|。	tā {yǐjīng} dào xuéxiào le．	He {already} arrived at school.							Hij kwam {reeds} op school aan. 
她{下}星期|就|回来|了|。	tā {xià} xīngqī jiù huílai le．	She is coming back {next} week.						Ze komt terug {volgende} week.
我|也|有|一块|这样|的|手表|。	wǒ yě yǒu yí kuài zhèyàng de shǒubiǎo．	I also have a watch like this.					Ook ik heb zo'n horloge.
她|还|没|起床|。	tā hái méi qǐchuáng．	She hasn't got up yet.									Ze is nog niet opgestaan.
你|的|字|写得|真|漂亮！	nǐ de zì xiěde zhēn piàoliang!	Your handwriting is really good!					Jouw handschrift is heel mooi ! 
欢迎|再|来！	huānyíng zài lái!	Come back soon!										Kom gauw terug!
因为|下雨|，|所以|他|没|去|踢|足球|。	yīnwèi xiàyǔ, suǒyǐ tā méi qù tī zúqiú.	Because it's raining, he didn't play football.		Omdat het regent, voetbalde hij niet. 
虽然|下雨|，|但是|他|去|踢|足球|。	suīrán xiàyǔ, dànshì tā qù tī zúqiú.	Although it's raining, he played football. ×××			Alhoewel het regent, speelt hij voetbal. 
他|80|岁|了|，|但是|身体|很|好|。	tā 80 suì le, dànshì shēntǐ hěn hǎo.	He is 80 years old, but he is very healthy.		Hij is 80 jaar oud, maar hij is zeer gezond.
她|从|中国|回来|了|。	tā cóng Zhōngguó huílai le．	She came back from China.							Ze kwam terug van China. 
