//HSK 3 Examples
5|点|1|刻	5 diǎn 1 kè	Quarter past 5
10000{米}	10000 {mǐ}	10,000 {meters}
四|五|千|个	sìwǔqiān gè	4 or 5 thousand of
800{多}人	800 {duō} rén	{Over} 800 people
一|双|鞋	yīshuāng xié	A pair of shoes
两|条|鱼	liǎng tiáo yú	Two fish
第|10|层	dì 10 céng	10th floor
3|角|5|分	3 jiǎo 5 fēn 	35 cents
{两}种	{liǎng} zhǒng	{Two} types
他|坐了|一会儿。	tā zuòle yīhuǐ'er.	He stayed for a while. 
快|一点|儿。	kuài yīdiǎn er.	Hurry up.
我|明天|一定|来。	wǒ míngtiān yīdìng lái.	I'll come tomorrow for sure 
我们|必须|想|个|好|办法。	wǒmen bìxū xiǎng gè hǎo bànfǎ.	We have to think of a good plan.
明天|会|更|好。	míngtiān huì gèng hǎo.	Tomorrow will be better.
雨|越|下越|大。	yǔ yuè xiàyuè dà.	Rain is getting heavier.
这儿|的|西瓜{特别}甜。	zhè'er de xīguā {tèbié} tián.	The watermelon here is {very} sweet.
这些孩子多可爱呀！	zhèxiē háizi duō kě'ài ya!	These children are so cute!
她唱得好极了！	tā chàng de hǎo jíle!	She sang really well!
中国的大城市，我几乎都去过。	Zhōngguó de dà chéngshì, wǒ jīhū dōu qùguò.	Chinese big cities; I have been to almost all of them.
这些药一共300元。	zhèxiē yào yīgòng 300 yuán.	These medicines together are RMB300.
我只去过北京一次。	wǒ zhǐ qùguò Běijīng yīcì.	I've only been to Beijing once.
我先说几句。	wǒ xiān shuō jǐ jù.	I will first say a few sentences.
他晚上11点才下班。	tā wǎnshàng 11 diǎn cái xiàbān.	He didn't get off work until 11 in the evening.
他的成绩一直很好。	tā de chéngjī yīzhí hěn hǎo.	His grades are always very good.
她总是很忙。	tā zǒng shì hěn máng.	She is always very busy.
请安静，节目马上开始。	qǐng ānjìng, jiémù mǎshàng kāishǐ.	Please be quiet, the show is about to begin. 
考试终于结束了。	kǎoshì zhōngyú jiéshùle.	The exam finally ended.
这道题其实很容易。	zhè dào tí qíshí hěn róngyì.	This problem is actually very easy.
那样做当然不可以。	nàyàng zuò dāngrán bù kěyǐ.	Doing that is of course not allowed.
今天他又迟到了。	jīntiān tā yòu chídàole.	He is late again today.
最近他经常去爬山。	zuìjìn tā jīngcháng qù páshān.	Recently he has often gone climbing.
房子虽然旧，但是很干净。	fángzi suīrán jiù, dànshì hěn gānjìng.	Although the house is old, it is very clean.
虽然X，但是Y。	suīrán X, dànshì Y.	Although X, Y.
她会说汉语，而且说得很好。	tā huì shuō hànyǔ, érqiě shuō de hěn hǎo.	She can speak Chinese, and can speak very well.
先吃饭，然后去看电影。	xiān chīfàn, ránhòu qù kàn diànyǐng.	First eat, then watch a movie.
先X，然后Y。	xiān X, ránhòu Y.	First X, then Y.
如果大家都同意，就这样决定了。	rúguǒ dàjiā dōu tóngyì, jiù zhèyàng juédìngle.	If everyone agrees, then we'll decide on this.
他一边上网，一边听音乐。	tā yībiān shàngwǎng, yībiān tīng yīnyuè.	He is web surfing, and also listening to music.
一边X，一边Y。	yībiān X, yībiān Y.	Doing X, and also Y at the same time.
给我打电话或者发电子邮件都可以。	gěi wǒ dǎ diànhuà huòzhě fā diànzǐ yóujiàn dōu kěyǐ.	Give me a call or send an email, both will do.
我们是打车还是坐地铁？	wǒmen shì dǎchē háishì zuò dìtiě?	Are we getting a taxi or taking the subway?
为了解决环境问题，人们想了很多办法。	wèile jiějué huánjìng wèntí, rénmen xiǎngle hěnduō bànfǎ.	To solve environmental problems, people think of a lot of solutions.
除了画画儿，她还喜欢跳舞。	chúle huà huà er, tā hái xǐhuan tiàowǔ.	Besides painting, she also likes to dance.
请把空调打开。	qǐng bǎ kòngtiáo dǎkāi.	Please switch on the air conditioning.
鱼被小猫吃了。	yú bèi xiǎo māo chīle.	The fish was eaten by the cat.
关于这段历史，我知道得很少。	guānyú zhè duàn lìshǐ, wǒ zhīdào de hěn shǎo.	About this piece of history, I know very little.
我们应该在周末开个会。	wǒmen yīnggāi zài zhōumò kāi gè huì.	We should have a meeting at the weekend.
你愿意和我结婚吗？	nǐ yuànyì hé wǒ jiéhūn ma?	Are you willing to marry me?
你敢骑马吗？	nǐ gǎn qímǎ ma?	Do you dare to ride a horse?
她高兴地笑了。	tā gāoxìng de xiàole.	She laughed happily.
他是经理吗？	tā shì jīnglǐ ma?	Is he the manager?
