//Integrated Chinese L1 Ch1
上海	Shànghǎi	Shanghai [pn]
不	bù	not; no [adv]
中国[中國]	Zhōngguó	China [pn]
也	yě	too; also [adv]
人	rén	people; person [n]
什么[什麼]	shénme	what [qpr]
你	nǐ	you [pr]
先生	xiānsheng	Mr.; husband; teacher [n]
加州	Jiāzhōu	California [pn]
加拿大	Jiā’nádà	Canada [pn]
北京	Běijīng	Beijing [pn]
印度	Yìndù	India [pn]
叫	jiào	to be called; to call [v]
名字	míngzi	name [n]
呢	ne	(question particle) [qp]
问[問]	wèn	to ask (a question) [v]
吗[嗎]	ma	(question particle) [qp]
墨西哥	Mòxīgē	Mexico [pn]
夏威夷	Xiàwēiyí	Hawaii [pn]
好	hǎo	fine; good; nice; O.K.; its settled [adj]
姓	xìng	(one’s ) surname is...; to be surnamed; surname [v/n]
学生[學生]	xuésheng	student [n]
小姐	xiǎojiě	Miss; young lady [n]
德国[德國]	Déguó	Germany [pn]
我	wǒ	I; me [pr]
日本	Rìběn	Japan [pn]
是	shì	to be [v]
李友	Lǐ Yǒu	(a personal name) [pn]
法国[法國]	Fǎguó	France [pn]
王朋	Wáng Péng	(a personal name) [pn]
的	de	(a possessive or descriptive particle) [p]
纽约[紐約]	Niǔyuē	New York [pn]
美国[美國]	Měiguó	America [pn]
老师[老師]	lǎoshī	teacher [n]
请[請]	qǐng	please (polite form of request); to treat or to invite (somebody) [v]
贵[貴]	guì	honorable; expensive [adj]
越南	Yuènán	Vietnam [pn]
韩国[韓國]	Hánguó	South Korea [pn]
//Integrated Chinese L1 Ch2
二姐	èrjiě	second oldest sister [n]
他	tā	he; him [pr]
个[個]	gè/ge	a measure word for many common everyday objects
做	zuò	to do [v]
儿子[兒子]	érzi	son [n]
两[兩]	liǎng	two; a couple of [nu]
口	kǒu	measure word for number of family members
和	hé	and [conj]
哥哥	gēge	older brother [n]
商人	shāngrén	merchant; businessperson [n]
大哥	dàgē	eldest brother [n]
大姐	dàjiě	eldest sister [n]
大学生[大學生]	dàxuéshēng	college student [n]
女儿[女兒]	nǚ’ér	daughter [n]
女	nǚ	female [adj]
她	tā	she; her [pr]
妹妹	mèimei	younger sister [n]
姐姐	jiějie	older sister [n]
妈妈[媽媽]	māma	mother, mom [n]
孩子	háizi	child [n]
家	jiā	family; home [n]
工人	gōngrén	worker [n]
工作	gōngzuò	job; to work [n/v]
工程师[工程師]	gōngchéngshī	engineer [n]
几[幾]	jǐ	how many; some; a few [nu]
弟弟	dìdi	younger brother [n]
律师[律師]	lǜshī	lawyer [n]
教授	jiàoshòu	professor [n]
有	yǒu	to have; to exist [v]
没	méi	not [adv]
照片	zhàopiàn	picture; photo [n]
爸爸	bàba	father, dad [n]
男	nán	male [adj]
白英爱[白英愛]	Bái Yīng’ài	(a personal name) [pn]
经理[經理]	jīnglǐ	manager [n]
英文	Yīngwén	English (language) [pn]
谁[誰]	shéi	who [qpr]
护士[護士]	hùshi	nurse [n]
军人[軍人]	jūnrén	soldier; military officer [n]
农民[農民]	nóngmín	farmer; peasant [n]
这[這]	zhè	this [pr]
那	nà	that [pr]
都	dōu	both; all [adv]
医生[醫生]	yīshēng	doctor; physician [n]
高文中	Gāo Wénzhōng	(a personal name) [pn]
//Integrated Chinese L1 Ch3
九月	jiǔyuè	September [n]
事(儿)[事（兒）]	shì(r)	matter; affair; event [n]
今天	jīntiān	today [t]
今年	jīnnián	this year [t]
再见[再見]	zàijiàn	goodbye; see you again [v]
刻	kè	quarter (of an hour) [m]
十二	shí’èr	twelve [nu]
十八	shíbā	eighteen [nu]
半	bàn	half; half an hour [nu]
可是	kěshì	but [conj]
吃	chī	to eat [v]
同学[同學]	tóngxué	classmate [n]
喜欢[喜歡]	xǐhuan	to like [v]
因为[因為]	yīnwèi	because [conj]
多	duō	how many/much; to what extent [adv]
大	dà	big; old [adj]
天	tiān	day [n]
太...了	tài…le	too; extremely
很	hěn	very [adv]
忙	máng	busy [adj]
怎么样[怎麼樣]	zěnmeyàng	Is it O.K.? How is that? How does that sound? [qpr]
情人节[情人節]	Qíngrénjié	Valentine’s Day [pn]
感恩节[感恩節]	Gǎn’ēnjié	Thanksgiving [pn]
我们[我們]	wǒmen	we [pr]
明天	míngtiān	tomorrow [t]
星期四	xīngqīsì	Thursday [n]
星期	xīngqī	week [n]
晚上	wǎnshang	evening; night [t/n]
晚饭[晚飯]	wǎnfàn	dinner; supper [n]
月	yuè	month [n]	
朋友	péngyou	friend [n]
岁[歲]	suì	year (of age) [n]
母亲节[母親節]	Mǔqīnjié	Mother's Day [pn]
为什么[為什麼]	wèishénme	why [qpr]
父亲节[父親節]	Fùqīnjié	Father's Day [pn]
现在[現在]	xiànzài	now [t]
生日	shēngrì	birthday [n]
英国[英國]	Yīngguó	Britain; England [pn]
菜	cài	dishes, cuisine [n]
号[號]	hào	measure word for number in a series; day of the month
见[見]	jiàn	to see [v]
认识[認識]	rènshi	to be acquainted with; recognize [v]
谢谢[謝謝]	xièxie	to thank [v]
还是[還是]	háishi	or [conj]
还[還]	hái	also; too; as well [adv]
饭[飯]	fàn	meal; (cooked) rice [n]
点[點]	diǎn	o'clock (lit. dot, point, thus“points on the clock) [m]
//Integrated Chinese L1 Ch4
下棋	xià qí	to play chess [vo]
